national_number,gen,english_name,japanese_name,primary_type,secondary_type,classification,percent_male,percent_female,height_m,weight_kg,capture_rate,base_egg_steps,hp,attack,defense,sp_attack,sp_defense,speed,abilities_0,abilities_1,abilities_2,abilities_hidden,against_normal,against_fire,against_water,against_electric,against_grass,against_ice,against_fighting,against_poison,against_ground,against_flying,against_psychict,against_bug,against_rock,against_ghost,against_dragon,against_dark,against_steel,against_fairy,is_sublegendary,is_legendary,is_mythical,evochain_0,evochain_1,evochain_2,evochain_3,evochain_4,evochain_5,evochain_6,gigantamax,mega_evolution,mega_evolution_alt,description
474,IV,Porygon-Z,Porygon-z,normal,,Virtual Pokémon,,,0.9,34,30,5120,85,80,70,135,75,90,Adaptability,Download,,Analytic,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1,0,0,0,Porygon,Trade with  Upgrade,Porygon2,Trade with  Dubious Disc,Porygon-Z,,,,,,"Porygon-Z had a program installed to allow it to move between dimensions, but the program also caused instability in Porygon-Z’s behavior."
475,IV,Gallade,Erureido,psychic,fighting,Blade Pokémon,100,0,1.6,52,45,5120,68,125,65,65,115,80,Steadfast,,,Justified,1,1,1,1,1,1,0.5,1,1,2,1,1,0.5,2,1,1,1,2,0,0,0,Ralts,Level,Kirlia,"On Male Pokémon, use Dawn Stone",Gallade,,,,Mega Gallade,,"True to its honorable-warrior image, it uses the blades on its elbows only in defense of something or someone."
476,IV,Probopass,Dainose,rock,steel,Compass Pokémon,50,50,1.4,340,60,5120,60,55,145,75,150,40,Sturdy,Magnet Pull,,Sand Force,0.25,1,2,1,1,0.5,4,0,4,0.25,0.5,0.5,0.5,1,0.5,1,1,0.5,0,0,0,Nosepass,Level up while at Blush Mountain/Vast Poni Canyon,Probopass,,,,,,,,"Although it can control its units known as Mini-Noses, they sometimes get lost and don’t come back."
477,IV,Dusknoir,Yonoir,ghost,,Gripper Pokémon,50.2,49.8,2.2,106.6,45,6400,45,100,135,65,135,45,Pressure,,,Frisk,0,1,1,1,1,1,0,0.5,1,1,1,0.5,1,2,1,2,1,1,0,0,0,Duskull,Level ,Dusclops,Trade with  Reaper Cloth,Dusknoir,,,,,,"At the bidding of transmissions from the spirit world, it steals people and Pokémon away. No one knows whether it has a will of its own."
478,IV,Froslass,Yukimenoko,ice,ghost,Snow Land Pokémon,0,100,1.3,26.6,75,5120,70,80,70,80,70,110,Snow Cloak,,,Cursed Body,0,2,1,1,1,0.5,0,0.5,1,1,1,0.5,2,2,1,2,2,1,0,0,0,Snorunt,Level,Glalie,"On Female Pokémon, use Dawn Stone",Froslass,,,,,,"After a woman met her end on a snowy mountain, her regrets lingered on. From them, this Pokémon was born. Its favorite food is frozen souls."
479,IV,Rotom,Rotom,electric,ghost,Plasma Pokémon,,,0.3,0.3,45,5120,50,50,77,95,77,91,Levitate,,,,0,1,1,0.5,1,1,0,0.5,2,0.5,1,0.5,1,2,1,2,0.5,1,0,0,0,Rotom,,,,,,,,,,One boy’s invention led to the development of many different machines that take advantage of Rotom’s unique capabilities.
480,IV,Uxie,Yuxie,psychic,,Knowledge Pokémon,,,0.3,0.3,3,20480,75,75,130,75,130,95,Levitate,,,,1,1,1,1,1,1,0.5,1,1,1,0.5,2,1,2,1,2,1,1,1,0,0,Uxie,,,,,,,,,,Known as “The Being of Knowledge.” It is said that it can wipe out the memory of those who see its eyes.
481,IV,Mesprit,Emrit,psychic,,Emotion Pokémon,,,0.3,0.3,3,20480,80,105,105,105,105,80,Levitate,,,,1,1,1,1,1,1,0.5,1,1,1,0.5,2,1,2,1,2,1,1,1,0,0,Mesprit,,,,,,,,,,"Known as “The Being of Emotion.” It taught humans the nobility of sorrow, pain, and joy."
482,IV,Azelf,Agnome,psychic,,Willpower Pokémon,,,0.3,0.3,3,20480,75,125,70,125,70,115,Levitate,,,,1,1,1,1,1,1,0.5,1,1,1,0.5,2,1,2,1,2,1,1,1,0,0,Azelf,,,,,,,,,,Known as “The Being of Willpower.” It sleeps at the bottom of a lake to keep the world in balance.
483,IV,Dialga,Dialga,steel,dragon,Temporal Pokémon,,,5.4,683,3,30720,100,120,120,150,100,90,Pressure,,,Telepathy,0.5,1,0.5,0.5,0.25,1,2,0,2,0.5,0.5,0.5,0.5,1,1,1,0.5,1,0,1,0,Dialga,,,,,,,,,,A Pokémon spoken of in legend. It is said that time began moving when Dialga was born.
484,IV,Palkia,Palkia,water,dragon,Spatial Pokémon,,,4.2,336,3,30720,90,120,100,150,120,100,Pressure,,,Telepathy,1,0.25,0.25,1,1,1,1,1,1,1,1,1,1,1,2,1,0.5,2,0,1,0,Palkia,,,,,,,,,,It is said to live in a gap in the spatial dimension parallel to ours. It appears in mythology.
485,IV,Heatran,Heatran,fire,steel,Lava Dome Pokémon,50.2,49.8,1.7,430,3,2560,91,90,106,130,106,77,Flash Fire,,,Flame Body,0.5,1,2,1,0.25,0.25,2,0,4,0.5,0.5,0.25,1,1,0.5,1,0.25,0.25,1,0,0,Heatran,,,,,,,,,,It dwells in volcanic caves. It digs in with its cross-shaped feet to crawl on ceilings and walls.
486,IV,Regigigas,Regigigas,normal,,Colossal Pokémon,,,3.7,420,3,30720,110,160,110,80,110,100,Slow Start,,,,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1,1,0,0,Regigigas,,,,,,,,,,"It is said to have made Pokémon that look like itself from a special ice mountain, rocks, and magma."
487,IV,Giratina,Giratina,ghost,dragon,Renegade Pokémon,,,4.5,750,3,30720,150,100,120,100,120,90,Pressure,Levitate (Origin Forme),,Telepathy,0,0.5,0.5,0.5,0.5,2,0,0.5,1,1,1,0.5,1,2,2,2,1,2,0,1,0,Giratina,,,,,,,,,,"This Pokémon is said to live in a world on the reverse side of ours, where common knowledge is distorted and strange."
488,IV,Cresselia,Cresselia,psychic,,Lunar Pokémon,0,100,1.5,85.6,3,30720,120,70,120,75,130,85,Levitate,,,,1,1,1,1,1,1,0.5,1,1,1,0.5,2,1,2,1,2,1,1,1,0,0,Cresselia,,,,,,,,,,Shiny particles are released from its wings like a veil. It is said to represent the crescent moon.
489,IV,Phione,Phione,water,,Sea Drifter Pokémon,,,0.4,3.1,30,10240,80,80,80,80,80,80,Hydration,,,,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1,0,0,1,Phione,Breed with Ditto,Manaphy,,,,,,,,"When the water warms, they inflate the flotation sac on their heads and drift languidly on the sea in packs."
490,IV,Manaphy,Manaphy,water,,Seafaring Pokémon,,,0.3,1.4,3,2560,100,100,100,100,100,100,Hydration,,,,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1,0,0,1,Phione,Breed with Ditto,Manaphy,,,,,,,,It is born with a wondrous power that lets it bond with any kind of Pokémon.
491,IV,Darkrai,Darkrai,dark,,Pitch-Black Pokémon,,,1.5,50.5,3,30720,70,90,90,135,90,125,Bad Dreams,,,,1,1,1,1,1,1,2,1,1,1,0,2,1,0.5,1,0.5,1,2,0,0,1,Darkrai,,,,,,,,,,"It chases people and Pokémon from its territory by causing them to experience deep, nightmarish slumbers."
492,IV,Shaymin,Shaymin,grass,grass,Gratitude Pokémon,,,0.2,2.1,45,30720,100,100,100,100,100,100,Natural Cure (Land Forme),Serene Grace (Sky Forme),,,1,2,0.5,0.5,0.5,2,1,2,0.5,2,1,2,1,1,1,1,1,1,0,0,1,Shaymin,,,,,,,,,,It can dissolve toxins in the air to instantly transform ruined land into a lush field of flowers.
493,IV,Arceus,Arceus,normal,,Alpha Pokémon,,,3.2,320,3,30720,120,120,120,120,120,120,Multitype,,,,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1,0,0,1,Arceus,,,,,,,,,,"According to the legends of Sinnoh, this Pokémon emerged from an egg and shaped all there is in this world."
494,V,Victini,Victini,psychic,fire,Victory Pokémon,,,0.4,4,3,30720,100,100,100,100,100,100,Victory Star,,,,1,0.5,2,1,0.5,0.5,0.5,1,2,1,0.5,1,2,2,1,2,0.5,0.5,0,0,1,Victini,,,,,,,,,,"This Pokémon brings victory. It is said that Trainers with Victini always win, regardless of the type of encounter."
495,V,Snivy,Tsutarja,grass,,Grass Snake Pokémon,88.1,11.9,0.6,8.1,45,5120,45,45,55,45,55,63,Overgrow,,,Contrary,1,2,0.5,0.5,0.5,2,1,2,0.5,2,1,2,1,1,1,1,1,1,0,0,0,Snivy,Level ,Servine,Level ,Serperior,,,,,,Being exposed to sunlight makes its movements swifter. It uses vines more adeptly than its hands.
496,V,Servine,Janovy,grass,,Grass Snake Pokémon,88.1,11.9,0.8,16,45,5120,60,60,75,60,75,83,Overgrow,,,Contrary,1,2,0.5,0.5,0.5,2,1,2,0.5,2,1,2,1,1,1,1,1,1,0,0,0,Snivy,Level ,Servine,Level ,Serperior,,,,,,"It moves along the ground as if sliding. Its swift movements befuddle its foes, and it then attacks with a vine whip."
497,V,Serperior,Jalorda,grass,,Regal Pokémon,88.1,11.9,3.3,63,45,5120,75,75,95,75,95,113,Overgrow,,,Contrary,1,2,0.5,0.5,0.5,2,1,2,0.5,2,1,2,1,1,1,1,1,1,0,0,0,Snivy,Level ,Servine,Level ,Serperior,,,,,,It only gives its all against strong opponents who are not fazed by the glare from Serperior’s noble eyes.
498,V,Tepig,Pokabu,fire,,Fire Pig Pokémon,88.1,11.9,0.5,9.9,45,5120,65,63,45,45,45,45,Blaze,,,Thick Fat,1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,0.5,0,0,0,Tepig,Level ,Pignite,Level ,Emboar,,,,,,It can deftly dodge its foe’s attacks while shooting fireballs from its nose. It roasts berries before it eats them.
499,V,Pignite,Chaoboo,fire,fighting,Fire Pig Pokémon,88.1,11.9,1,55.5,45,5120,90,93,55,70,55,55,Blaze,,,Thick Fat,1,0.5,2,1,0.5,0.5,1,1,2,2,2,0.25,1,1,1,0.5,0.5,1,0,0,0,Tepig,Level ,Pignite,Level ,Emboar,,,,,,"The more it eats, the more fuel it has to make the fire in its stomach stronger. This fills it with even more power."
500,V,Emboar,Enbuoh,fire,fighting,Mega Fire Pig Pokémon,88.1,11.9,1.6,150,45,5120,110,123,65,100,65,65,Blaze,,,Reckless,1,0.5,2,1,0.5,0.5,1,1,2,2,2,0.25,1,1,1,0.5,0.5,1,0,0,0,Tepig,Level ,Pignite,Level ,Emboar,,,,,,It can throw a fire punch by setting its fists on fire with its fiery chin. It cares deeply about its friends.
501,V,Oshawott,Mijumaru,water,,Sea Otter Pokémon,88.1,11.9,0.5,5.9,45,5120,55,55,45,63,45,45,Torrent,,,Shell Armor,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1,0,0,0,Oshawott,Level ,Dewott,Level ,Samurott,,,,,,The scalchop on its stomach isn’t just used for battle—it can be used to break open hard berries as well.
502,V,Dewott,Futachimaru,water,,Discipline Pokémon,88.1,11.9,0.8,24.5,45,5120,75,75,60,83,60,60,Torrent,,,Shell Armor,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1,0,0,0,Oshawott,Level ,Dewott,Level ,Samurott,,,,,,Strict training is how it learns its flowing double-scalchop technique.
503,V,Samurott,Daikenki,water,,Formidable Pokémon,88.1,11.9,1.5,94.6,45,5120,95,100,85,108,70,70,Torrent,,,Shell Armor,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1,0,0,0,Oshawott,Level ,Dewott,Level ,Samurott,,,,,,"In the time it takes a foe to blink, it can draw and sheathe the seamitars attached to its front legs."
504,V,Patrat,Minezumi,normal,,Scout Pokémon,50,50,0.5,11.6,255,3840,45,55,39,35,39,42,Run Away,Keen Eye,,Analytic,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1,0,0,0,Patrat,Level ,Watchog,,,,,,,,"Using food stored in cheek pouches, they can keep watch for days. They use their tails to communicate with others."
505,V,Watchog,Miruhog,normal,,Lookout Pokémon,50,50,1.1,27,255,5120,60,85,69,60,69,77,Illuminate,Keen Eye,,Analytic,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1,0,0,0,Patrat,Level ,Watchog,,,,,,,,"Using luminescent matter, it makes its eyes and body glow and stuns attacking opponents."
506,V,Lillipup,Yorterrie,normal,,Puppy Pokémon,50.2,49.8,0.4,4.1,255,3840,45,60,45,25,45,55,Vital Spirit,Pickup,,Run Away,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1,0,0,0,Lillipup,Level ,Herdier,Level ,Stoutland,,,,,,This Pokémon is courageous but also cautious. It uses the soft fur covering its face to collect information about its surroundings.
507,V,Herdier,Herderrie,normal,,Loyal Dog Pokémon,50.2,49.8,0.9,14.7,120,3840,65,80,65,35,65,60,Intimidate,Sand Rush,,Scrappy,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1,0,0,0,Lillipup,Level ,Herdier,Level ,Stoutland,,,,,,Herdier is a very smart and friendly Pokémon. So much so that there’s a theory that Herdier was the first Pokémon to partner with people.
508,V,Stoutland,Mooland,normal,,Big-Hearted Pokémon,50.2,49.8,1.2,61,45,3840,85,110,90,45,90,80,Intimidate,Sand Rush,,Scrappy,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1,0,0,0,Lillipup,Level ,Herdier,Level ,Stoutland,,,,,,These Pokémon seem to enjoy living with humans. Even a Stoutland caught in the wild will warm up to people in about three days.
509,V,Purrloin,Choroneko,dark,,Devious Pokémon,50.2,49.8,0.4,10.1,255,5120,41,50,37,50,37,66,Limber,Unburden,,Prankster,1,1,1,1,1,1,2,1,1,1,0,2,1,0.5,1,0.5,1,2,0,0,0,Purrloin,Level ,Liepard,,,,,,,,It steals things from people just to amuse itself with their frustration. A rivalry exists between this Pokémon and Nickit.
510,V,Liepard,Lepardas,dark,,Cruel Pokémon,50.2,49.8,1.1,37.5,90,5120,64,88,50,88,50,106,Limber,Unburden,,Prankster,1,1,1,1,1,1,2,1,1,1,0,2,1,0.5,1,0.5,1,2,0,0,0,Purrloin,Level ,Liepard,,,,,,,,Don’t be fooled by its gorgeous fur and elegant figure. This is a moody and vicious Pokémon.
511,V,Pansage,Yanappu,grass,,Grass Monkey Pokémon,88.1,11.9,0.6,10.5,190,5120,50,53,48,53,48,64,Gluttony,,,Overgrow,1,2,0.5,0.5,0.5,2,1,2,0.5,2,1,2,1,1,1,1,1,1,0,0,0,Pansage,Use Leaf Stone,Simisage,,,,,,,,It shares the leaf on its head with weary-looking Pokémon. These leaves are known to relieve stress.
512,V,Simisage,Yanakkie,grass,,Thorn Monkey Pokémon,88.1,11.9,1.1,30.5,75,5120,75,98,63,98,63,101,Gluttony,,,Overgrow,1,2,0.5,0.5,0.5,2,1,2,0.5,2,1,2,1,1,1,1,1,1,0,0,0,Pansage,Use Leaf Stone,Simisage,,,,,,,,It attacks enemies with strikes of its thorn-covered tail. This Pokémon is wild tempered.
513,V,Pansear,Baoppu,fire,,High Temp Pokémon,88.1,11.9,0.6,11,190,5120,50,53,48,53,48,64,Gluttony,,,Blaze,1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,0.5,0,0,0,Pansear,Use Fire Stone,Simisear,,,,,,,,"Very intelligent, it roasts berries before eating them. It likes to help people."
514,V,Simisear,Baokkie,fire,,Ember Pokémon,88.1,11.9,1,28,75,5120,75,98,63,98,63,101,Gluttony,,,Blaze,1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,0.5,0,0,0,Pansear,Use Fire Stone,Simisear,,,,,,,,A flame burns inside its body. It scatters embers from its head and tail to sear its opponents.
515,V,Panpour,Hiyappu,water,,Spray Pokémon,88.1,11.9,0.6,13.5,190,5120,50,53,48,53,48,64,Gluttony,,,Torrent,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1,0,0,0,Panpour,Use Water Stone,Simipour,,,,,,,,The water stored inside the tuft on its head is full of nutrients. It waters plants with it using its tail.
516,V,Simipour,Hiyakkie,water,,Geyser Pokémon,88.1,11.9,1,29,75,5120,75,98,63,98,63,101,Gluttony,,,Torrent,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1,0,0,0,Panpour,Use Water Stone,Simipour,,,,,,,,"The high-pressure water expelled from its tail is so powerful, it can destroy a concrete wall."
517,V,Munna,Munna,psychic,,Dream Eater Pokémon,50.2,49.8,0.6,23.3,190,2560,76,25,45,67,55,24,Forewarn,Synchronize,,Telepathy,1,1,1,1,1,1,0.5,1,1,1,0.5,2,1,2,1,2,1,1,0,0,0,Munna,Use Moon Stone,Musharna,,,,,,,,"Late at night, it appears beside people’s pillows. As it feeds on dreams, the patterns on its body give off a faint glow."
518,V,Musharna,Musharna,psychic,,Drowsing Pokémon,50.2,49.8,1.1,60.5,75,2560,116,55,85,107,95,29,Forewarn,Synchronize,,Telepathy,1,1,1,1,1,1,0.5,1,1,1,0.5,2,1,2,1,2,1,1,0,0,0,Munna,Use Moon Stone,Musharna,,,,,,,,"When dark mists emanate from its body, don’t get too near. If you do, your nightmares will become reality."
519,V,Pidove,Mamepato,normal,flying,Tiny Pigeon Pokémon,50.2,49.8,0.3,2.1,255,3840,50,55,50,36,30,43,Big Pecks,Super Luck,,Rivalry,1,1,1,2,0.5,2,1,1,0,1,1,0.5,2,0,1,1,1,1,0,0,0,Pidove,Level ,Tranquill,Level ,Unfezant,,,,,,"Where people go, these Pokémon follow. If you’re scattering food for them, be careful—several hundred of them can gather at once."
520,V,Tranquill,Hatoboh,normal,flying,Wild Pigeon Pokémon,50.2,49.8,0.6,15,120,3840,62,77,62,50,42,65,Big Pecks,Super Luck,,Rivalry,1,1,1,2,0.5,2,1,1,0,1,1,0.5,2,0,1,1,1,1,0,0,0,Pidove,Level ,Tranquill,Level ,Unfezant,,,,,,"It can fly moderately quickly. No matter how far it travels, it can always find its way back to its master and its nest."
521,V,Unfezant,Kenhallow,normal,flying,Proud Pokémon,50.2,49.8,1.2,29,45,3840,80,115,80,65,55,93,Big Pecks,Super Luck,,Rivalry,1,1,1,2,0.5,2,1,1,0,1,1,0.5,2,0,1,1,1,1,0,0,0,Pidove,Level ,Tranquill,Level ,Unfezant,,,,,,"Unfezant are exceptional fliers. The females are known for their stamina, while the males outclass them in terms of speed."
522,V,Blitzle,Shimama,electric,,Electrified Pokémon,50,50,0.8,29.8,190,5120,45,60,32,50,32,76,Lightning Rod,Motor Drive,,Sap Sipper,1,1,1,0.5,1,1,1,1,2,0.5,1,1,1,1,1,1,0.5,1,0,0,0,Blitzle,Level ,Zebstrika,,,,,,,,"When thunderclouds cover the sky, it will appear. It can catch lightning with its mane and store the electricity."
523,V,Zebstrika,Zebraika,electric,,Thunderbolt Pokémon,50,50,1.6,79.5,75,5120,75,100,63,80,63,116,Lightning Rod,Motor Drive,,Sap Sipper,1,1,1,0.5,1,1,1,1,2,0.5,1,1,1,1,1,1,0.5,1,0,0,0,Blitzle,Level ,Zebstrika,,,,,,,,"When this ill-tempered Pokémon runs wild, it shoots lightning from its mane in all directions."
524,V,Roggenrola,Dangoro,rock,,Mantle Pokémon,50.2,49.8,0.4,18,255,3840,55,75,85,25,25,15,Sturdy,Weak Armor,,Sand Force,0.5,0.5,2,1,2,1,2,0.5,2,0.5,1,1,1,1,1,1,2,1,0,0,0,Roggenrola,Level ,Boldore,Trade,Gigalith,,,,,,"It’s as hard as steel, but apparently a long soak in water will cause it to soften a bit."
525,V,Boldore,Gantle,rock,,Ore Pokémon,50.2,49.8,0.9,102,120,3840,70,105,105,50,40,20,Sturdy,Weak Armor,,Sand Force,0.5,0.5,2,1,2,1,2,0.5,2,0.5,1,1,1,1,1,1,2,1,0,0,0,Roggenrola,Level ,Boldore,Trade,Gigalith,,,,,,"If you see its orange crystals start to glow, be wary. It’s about to fire off bursts of energy."
526,V,Gigalith,Gigaiath,rock,,Compressed Pokémon,50.2,49.8,1.7,260,45,3840,85,135,130,60,80,25,Sturdy,Sand Stream,,Sand Force,0.5,0.5,2,1,2,1,2,0.5,2,0.5,1,1,1,1,1,1,2,1,0,0,0,Roggenrola,Level ,Boldore,Trade,Gigalith,,,,,,"This hardy Pokémon can often be found on construction sites and in mines, working alongside people and Copperajah."
527,V,Woobat,Koromori,psychic,flying,Bat Pokémon,50.2,49.8,0.4,2.1,190,3840,65,45,43,55,43,72,Unaware,Klutz,,Simple,1,1,1,2,0.5,2,0.25,1,0,1,0.5,1,2,2,1,2,1,1,0,0,0,Woobat,Level Up with Happiness Value at 220,Swoobat,,,,,,,,"While inside a cave, if you look up and see lots of heart-shaped marks lining the walls, it’s evidence that Woobat live there."
528,V,Swoobat,Kokoromori,psychic,flying,Courting Pokémon,50.2,49.8,0.9,10.5,45,3840,67,57,55,77,55,114,Unaware,Klutz,,Simple,1,1,1,2,0.5,2,0.25,1,0,1,0.5,1,2,2,1,2,1,1,0,0,0,Woobat,Level Up with Happiness Value at 220,Swoobat,,,,,,,,"Emitting powerful sound waves tires it out. Afterward, it won’t be able to fly for a little while."
529,V,Drilbur,Mogurew,ground,,Mole Pokémon,50.2,49.8,0.3,8.5,120,5120,60,85,40,30,45,68,Sand Rush,Sand Force,,Mold Breaker,1,1,2,0,2,2,1,0.5,1,1,1,1,0.5,1,1,1,1,1,0,0,0,Drilbur,Level ,Excadrill,,,,,,,,It brings its claws together and whirls around at high speed before rushing toward its prey.
530,V,Excadrill,Doryuzu,ground,steel,Subterrene Pokémon,50.2,49.8,0.7,40.4,60,5120,110,135,60,50,65,88,Sand Rush,Sand Force,,Mold Breaker,0.5,2,2,0,1,1,2,0,2,0.5,0.5,0.5,0.25,1,0.5,1,0.5,0.5,0,0,0,Drilbur,Level ,Excadrill,,,,,,,,It’s not uncommon for tunnels that appear to have formed naturally to actually be a result of Excadrill’s rampant digging.
531,V,Audino,Tabunne,normal,,Hearing Pokémon,50.2,49.8,1.1,31,255,5120,103,60,86,60,86,50,Healer,Regenerator,,Klutz,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1,0,0,0,Audino,,,,,,,,Mega Audino,,Audino’s sense of hearing is superb. Not even a pebble rolling along over a mile away will escape Audino’s ears.
532,V,Timburr,Dokkorer,fighting,,Muscular Pokémon,75.49,24.51,0.6,12.5,180,5120,75,80,55,25,35,35,Guts,Sheer Force,,Iron Fist,1,1,1,1,1,1,1,1,1,2,2,0.5,0.5,1,1,0.5,1,2,0,0,0,Timburr,Level ,Gurdurr,Trade,Conkeldurr,,,,,,"It loves helping out with construction projects. It loves it so much that if rain causes work to halt, it swings its log around and throws a tantrum."
533,V,Gurdurr,Dotekkotsu,fighting,,Muscular Pokémon,75.49,24.51,1.2,40,90,5120,85,105,85,40,50,40,Guts,Sheer Force,,Iron Fist,1,1,1,1,1,1,1,1,1,2,2,0.5,0.5,1,1,0.5,1,2,0,0,0,Timburr,Level ,Gurdurr,Trade,Conkeldurr,,,,,,"It shows off its muscles to Machoke and other Gurdurr. If it fails to measure up to the other Pokémon, it lies low for a little while."
534,V,Conkeldurr,Roubushin,fighting,,Muscular Pokémon,75.49,24.51,1.4,87,45,5120,105,140,95,55,65,45,Guts,Sheer Force,,Iron Fist,1,1,1,1,1,1,1,1,1,2,2,0.5,0.5,1,1,0.5,1,2,0,0,0,Timburr,Level ,Gurdurr,Trade,Conkeldurr,,,,,,"Concrete mixed by Conkeldurr is much more durable than normal concrete, even when the compositions of the two materials are the same."
535,V,Tympole,Otamaro,water,,Tadpole Pokémon,50.2,49.8,0.5,4.5,255,5120,50,50,40,50,40,64,Swift Swim,Hydration,,Water Absorb,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1,0,0,0,Tympole,Level ,Palpitoad,Level ,Seismitoad,,,,,,Graceful ripples running across the water’s surface are a sure sign that Tympole are singing in high-pitched voices below.
536,V,Palpitoad,Gamagaru,water,ground,Vibration Pokémon,50.2,49.8,0.8,17,120,5120,75,65,55,65,55,69,Swift Swim,Hydration,,Water Absorb,1,0.5,1,0,4,1,1,0.5,1,1,1,1,0.5,1,1,1,0.5,1,0,0,0,Tympole,Level ,Palpitoad,Level ,Seismitoad,,,,,,"It weakens its prey with sound waves intense enough to cause headaches, then entangles them with its sticky tongue."
537,V,Seismitoad,Gamageroge,water,ground,Vibration Pokémon,50.2,49.8,1.5,62,45,5120,105,95,75,85,75,74,Swift Swim,Poison Touch,,Water Absorb,1,0.5,1,0,4,1,1,0.5,1,1,1,1,0.5,1,1,1,0.5,1,0,0,0,Tympole,Level ,Palpitoad,Level ,Seismitoad,,,,,,The vibrating of the bumps all over its body causes earthquake-like tremors. Seismitoad and Croagunk are similar species.
538,V,Throh,Nageki,fighting,,Judo Pokémon,100,0,1.3,55.5,45,5120,120,100,85,30,85,45,Guts,Inner Focus,,Mold Breaker,1,1,1,1,1,1,1,1,1,2,2,0.5,0.5,1,1,0.5,1,2,0,0,0,Throh,,,,,,,,,,"It performs throwing moves with first-rate skill. Over the course of many battles, Throh’s belt grows darker as it absorbs its wearer’s sweat."
539,V,Sawk,Dageki,fighting,,Karate Pokémon,100,0,1.4,51,45,5120,75,125,75,30,75,85,Sturdy,Inner Focus,,Mold Breaker,1,1,1,1,1,1,1,1,1,2,2,0.5,0.5,1,1,0.5,1,2,0,0,0,Sawk,,,,,,,,,,"If you see a Sawk training in the mountains in its single-minded pursuit of strength, it’s best to quietly pass by."
540,V,Sewaddle,Kurumiru,bug,grass,Sewing Pokémon,50,50,0.3,2.5,255,3840,45,53,70,40,60,42,Swarm,Chlorophyll,,Overcoat,1,4,0.5,0.5,0.25,2,0.5,2,0.25,4,1,2,2,1,1,1,1,1,0,0,0,Sewaddle,Level ,Swadloon,Level Up with Happiness Value at 220,Leavanny,,,,,,This Pokémon makes clothes for itself. It chews up leaves and sews them with sticky thread extruded from its mouth.
541,V,Swadloon,Kurumayu,bug,grass,Leaf-Wrapped Pokémon,50,50,0.5,7.3,120,3840,55,63,90,50,80,42,Leaf Guard,Chlorophyll,,Overcoat,1,4,0.5,0.5,0.25,2,0.5,2,0.25,4,1,2,2,1,1,1,1,1,0,0,0,Sewaddle,Level ,Swadloon,Level Up with Happiness Value at 220,Leavanny,,,,,,Forests where Swadloon live have superb foliage because the nutrients they make from fallen leaves nourish the plant life.
542,V,Leavanny,Hahakomori,bug,grass,Nurturing Pokémon,50,50,1.2,20.5,45,3840,75,103,80,70,80,92,Swarm,Chlorophyll,,Overcoat,1,4,0.5,0.5,0.25,2,0.5,2,0.25,4,1,2,2,1,1,1,1,1,0,0,0,Sewaddle,Level ,Swadloon,Level Up with Happiness Value at 220,Leavanny,,,,,,"Upon finding a small Pokémon, it weaves clothing for it from leaves by using the sticky silk secreted from its mouth."
543,V,Venipede,Fushide,bug,poison,Centipede Pokémon,50.2,49.8,0.4,5.3,255,3840,30,45,59,30,39,57,Poison Point,Swarm,,Speed Boost,1,2,1,1,0.25,1,0.25,0.5,1,2,2,0.5,2,1,1,1,1,0.5,0,0,0,Venipede,Level ,Whirlipede,Level ,Scolipede,,,,,,"Venipede and Sizzlipede are similar species, but when the two meet, a huge fight ensues."
544,V,Whirlipede,Wheega,bug,poison,Curlipede Pokémon,50.2,49.8,1.2,58.5,120,3840,40,55,99,40,79,47,Poison Point,Swarm,,Speed Boost,1,2,1,1,0.25,1,0.25,0.5,1,2,2,0.5,2,1,1,1,1,0.5,0,0,0,Venipede,Level ,Whirlipede,Level ,Scolipede,,,,,,This Pokémon spins itself rapidly and charges into its opponents. Its top speed is just over 60 mph.
